net,length_um
net99,175.02µm
_106_,160.06µm
counter\[11\],146.04µm
net115,145.47µm
net3,140.09µm
net102,139.89µm
_050_,136.41µm
net55,133.01µm
_107_,131.6µm
_059_,126.865µm
net53,121.72µm
net51,118.74µm
net38,118.4µm
net94,117.92µm
net105,113.72µm
net75,113.56µm
net98,113.49µm
_140_,112.95µm
net93,112.2µm
net76,111.02µm
net25,110.72µm
counter\[6\],110.59µm
net110,110.42µm
net72,109.08µm
net116,108.33µm
counter\[4\],108.165µm
net71,105.04µm
net56,103.62µm
net63,103.48µm
net54,102.58µm
net78,101.48µm
net77,101.32µm
net103,99.95µm
net85,98.5µm
net58,98.34µm
result\[10\],97.33µm
counter\[1\],95.82µm
counter\[2\],95.685µm
_105_,93.92µm
net112,93.68µm
net104,93.62µm
counter\[10\],93.39µm
result\[9\],91.6µm
counter\[5\],90.54µm
net73,90.1µm
counter\[7\],89.655µm
net79,89.36µm
net109,88.54µm
net95,87.17µm
net34,86.08µm
result\[6\],85.74µm
net70,85.66µm
net4,84.81µm
net101,84.76µm
net111,84.54µm
counter\[3\],83.9µm
_127_,83.47µm
net114,81.98µm
net113,81.45µm
net57,81.29µm
net92,80.98µm
net118,80.95µm
net5,79.77µm
counter\[8\],77.2µm
result\[11\],77.06µm
net108,76.63µm
result\[8\],76.17µm
_049_,74.25µm
_051_,73.92µm
net6,73.24µm
_119_,72.83µm
result\[7\],68.31µm
net91,65.54µm
net100,65.14µm
net106,64.92µm
net2,63.125µm
net69,62.9µm
net68,62.66µm
net117,62.56µm
result\[4\],62.28µm
net8,60.28µm
result\[1\],59.39µm
net90,58.12µm
net96,54.44µm
_058_,52.2µm
net80,51.22µm
_132_,48.38µm
net81,48.38µm
net59,47.14µm
net89,46.08µm
net7,46.04µm
_118_,45.94µm
net52,44.56µm
_034_,44µm
_133_,43.06µm
net12,42.68µm
_074_,42.07µm
net67,40.68µm
net82,40.68µm
net107,40.56µm
net65,40.12µm
vss_n_o[0],38.85µm
comp_n,38.5µm
net83,37.64µm
offset_cal_cycle,36.76µm
result\[3\],36.28µm
net60,35.56µm
_032_,32.6µm
_038_,32.4µm
result\[5\],31.7µm
counter\[0\],31.26µm
_069_,30.2µm
result\[2\],30.12µm
result\[0\],30.08µm
net74,29.74µm
state\[1\],28.48µm
vss_p_o[0],28.29µm
en_comp,27.88µm
_064_,27.825µm
net39,27.68µm
vss_n_o[1],27.65µm
vss_p_o[2],26.85µm
_072_,26.76µm
net64,26.74µm
net87,26.54µm
vss_p_o[1],26.45µm
vcm_o_i[9],24.78µm
vss_n_o[2],24.45µm
vss_n_o[5],24.45µm
_047_,23.72µm
net33,23.64µm
vss_p_o[3],22.81µm
_158_,22.48µm
vcm_dummy_o,22.36µm
_044_,22.17µm
vss_n_o[7],22.01µm
net88,22µm
_040_,21.5µm
_063_,21.08µm
single_ended,20.86µm
vcm_o_i[10],20.34µm
_076_,20.18µm
_075_,20.12µm
debug_mux[3],19.94µm
vin_p_sw_on,19.83µm
counter_sample,19.78µm
en_vcm_sw_o,19.64µm
net66,19.54µm
net37,19.28µm
rst_z,19.02µm
_027_,19µm
state\[0\],19µm
net14,18.93µm
_054_,18.92µm
vss_n_o[3],18.53µm
debug_mux[0],18.32µm
net41,17.46µm
_068_,17.34µm
