Instance name, X location, Y location, Voltage
output28, 25.14, 38.08, 4.44882e-05
FILLER_0_9_34, 25.14, 38.08, 4.44882e-05
_198_, 25.14, 32.64, 7.91638e-05
_200_, 25.14, 32.64, 7.91638e-05
_203_, 25.14, 32.64, 7.91638e-05
_437_, 25.14, 32.64, 7.91638e-05
output29, 25.14, 32.64, 7.91638e-05
FILLER_0_9_44, 25.14, 32.64, 7.91638e-05
_197_, 25.14, 27.2, 6.63005e-05
_253_, 25.14, 27.2, 6.63005e-05
_282_, 25.14, 27.2, 6.63005e-05
_288_, 25.14, 27.2, 6.63005e-05
_398_, 25.14, 27.2, 6.63005e-05
_400_, 25.14, 27.2, 6.63005e-05
_403_, 25.14, 27.2, 6.63005e-05
fanout95, 25.14, 27.2, 6.63005e-05
_240_, 25.14, 21.76, 0.000100725
_242_, 25.14, 21.76, 0.000100725
_255_, 25.14, 21.76, 0.000100725
_281_, 25.14, 21.76, 0.000100725
_284_, 25.14, 21.76, 0.000100725
_377_, 25.14, 21.76, 0.000100725
_402_, 25.14, 21.76, 0.000100725
_213_, 25.14, 16.32, 0.000102745
_214_, 25.14, 16.32, 0.000102745
_243_, 25.14, 16.32, 0.000102745
_382_, 25.14, 16.32, 0.000102745
_422_, 25.14, 16.32, 0.000102745
output87, 25.14, 16.32, 0.000102745
_181_, 25.14, 10.88, 0.000222304
_304_, 25.14, 10.88, 0.000222304
input13, 25.14, 10.88, 0.000222304
output34, 25.14, 10.88, 0.000222304
output40, 25.14, 10.88, 0.000222304
output84, 25.14, 10.88, 0.000222304
output86, 25.14, 10.88, 0.000222304
PHY_EDGE_ROW_9_Left_19, 5.52, 38.08, 4.45116e-05
PHY_EDGE_ROW_9_Right_9, 139.38, 38.08, 0.000320197
input24, 139.38, 38.08, 0.000320197
output52, 139.38, 38.08, 0.000320197
_199_, 15.33, 38.08, 4.45116e-05
output27, 15.33, 38.08, 4.45116e-05
output70, 15.33, 38.08, 4.45116e-05
_425_, 37.833, 38.08, 8.97114e-05
output30, 37.833, 38.08, 8.97114e-05
output31, 50.526, 38.08, 0.000134279
fanout111, 50.526, 38.08, 0.000134279
_413_, 63.22, 38.08, 0.000175269
output32, 63.22, 38.08, 0.000175269
_325_, 75.913, 38.08, 0.0002156
fanout114, 75.913, 38.08, 0.0002156
_326_, 88.606, 38.08, 0.000252729
_339_, 88.606, 38.08, 0.000252729
fanout112, 101.3, 38.08, 0.0002858
fanout117, 101.3, 38.08, 0.0002858
_416_, 113.993, 38.08, 0.000313335
_210_, 126.686, 38.08, 0.0003187
input5, 126.686, 38.08, 0.0003187
FILLER_0_9_261, 126.686, 38.08, 0.0003187
PHY_EDGE_ROW_7_Left_17, 5.52, 32.64, 0.000100836
PHY_EDGE_ROW_8_Left_18, 5.52, 32.64, 0.000100836
output26, 5.52, 32.64, 0.000100836
output63, 5.52, 32.64, 0.000100836
output71, 5.52, 32.64, 0.000100836
output72, 5.52, 32.64, 0.000100836
PHY_EDGE_ROW_7_Right_7, 139.38, 32.64, 0.00040519
PHY_EDGE_ROW_8_Right_8, 139.38, 32.64, 0.00040519
output58, 139.38, 32.64, 0.00040519
output59, 139.38, 32.64, 0.00040519
output60, 139.38, 32.64, 0.00040519
ANTENNA_4, 139.38, 32.64, 0.00040519
_201_, 15.33, 32.64, 9.0922e-05
_346_, 15.33, 32.64, 9.0922e-05
_384_, 15.33, 32.64, 9.0922e-05
_424_, 15.33, 32.64, 9.0922e-05
input25, 15.33, 32.64, 9.0922e-05
output68, 15.33, 32.64, 9.0922e-05
FILLER_0_7_11, 15.33, 32.64, 9.0922e-05
FILLER_0_8_18, 15.33, 32.64, 9.0922e-05
_204_, 37.833, 32.64, 0.000155324
_254_, 37.833, 32.64, 0.000155324
_385_, 37.833, 32.64, 0.000155324
_401_, 37.833, 32.64, 0.000155324
_440_, 37.833, 32.64, 0.000155324
fanout100, 37.833, 32.64, 0.000155324
_205_, 50.526, 32.64, 0.000214517
_206_, 50.526, 32.64, 0.000214517
_207_, 50.526, 32.64, 0.000214517
_209_, 50.526, 32.64, 0.000214517
_397_, 50.526, 32.64, 0.000214517
_409_, 50.526, 32.64, 0.000214517
_439_, 50.526, 32.64, 0.000214517
FILLER_0_7_97, 50.526, 32.64, 0.000214517
FILLER_0_9_106, 50.526, 32.64, 0.000214517
_208_, 63.22, 32.64, 0.000272938
_355_, 63.22, 32.64, 0.000272938
output33, 63.22, 32.64, 0.000272938
fanout107, 63.22, 32.64, 0.000272938
fanout115, 63.22, 32.64, 0.000272938
_191_, 75.913, 32.64, 0.000317235
_323_, 75.913, 32.64, 0.000317235
_324_, 75.913, 32.64, 0.000317235
_331_, 75.913, 32.64, 0.000317235
_333_, 75.913, 32.64, 0.000317235
_354_, 75.913, 32.64, 0.000317235
_396_, 75.913, 32.64, 0.000317235
input1, 75.913, 32.64, 0.000317235
input10, 75.913, 32.64, 0.000317235
_192_, 88.606, 32.64, 0.000356815
_320_, 88.606, 32.64, 0.000356815
_330_, 88.606, 32.64, 0.000356815
_334_, 88.606, 32.64, 0.000356815
_335_, 88.606, 32.64, 0.000356815
_336_, 88.606, 32.64, 0.000356815
_338_, 88.606, 32.64, 0.000356815
input12, 88.606, 32.64, 0.000356815
fanout118, 88.606, 32.64, 0.000356815
FILLER_0_7_169, 88.606, 32.64, 0.000356815
_392_, 101.3, 32.64, 0.000385244
_417_, 101.3, 32.64, 0.000385244
input8, 101.3, 32.64, 0.000385244
input11, 101.3, 32.64, 0.000385244
fanout109, 101.3, 32.64, 0.000385244
_365_, 113.993, 32.64, 0.000401616
_366_, 113.993, 32.64, 0.000401616
_367_, 113.993, 32.64, 0.000401616
input4, 113.993, 32.64, 0.000401616
fanout99, 113.993, 32.64, 0.000401616
_275_, 126.686, 32.64, 0.00040519
input6, 126.686, 32.64, 0.00040519
input7, 126.686, 32.64, 0.00040519
output57, 126.686, 32.64, 0.00040519
output61, 126.686, 32.64, 0.00040519
FILLER_0_8_268, 126.686, 32.64, 0.00040519
PHY_EDGE_ROW_5_Left_15, 5.52, 27.2, 8.39528e-05
PHY_EDGE_ROW_6_Left_16, 5.52, 27.2, 8.39528e-05
output65, 5.52, 27.2, 8.39528e-05
output66, 5.52, 27.2, 8.39528e-05
output67, 5.52, 27.2, 8.39528e-05
output69, 5.52, 27.2, 8.39528e-05
PHY_EDGE_ROW_5_Right_5, 139.38, 27.2, 0.000381001
PHY_EDGE_ROW_6_Right_6, 139.38, 27.2, 0.000381001
output53, 139.38, 27.2, 0.000381001
output54, 139.38, 27.2, 0.000381001
output56, 139.38, 27.2, 0.000381001
ANTENNA_2, 139.38, 27.2, 0.000381001
FILLER_0_5_281, 139.38, 27.2, 0.000381001
_360_, 15.33, 27.2, 8.13038e-05
_404_, 15.33, 27.2, 8.13038e-05
_405_, 15.33, 27.2, 8.13038e-05
_438_, 15.33, 27.2, 8.13038e-05
FILLER_0_6_11, 15.33, 27.2, 8.13038e-05
_202_, 37.833, 27.2, 0.000127004
_211_, 37.833, 27.2, 0.000127004
_287_, 37.833, 27.2, 0.000127004
_399_, 37.833, 27.2, 0.000127004
_412_, 37.833, 27.2, 0.000127004
fanout106, 37.833, 27.2, 0.000127004
_180_, 50.526, 27.2, 0.000178812
_248_, 50.526, 27.2, 0.000178812
_289_, 50.526, 27.2, 0.000178812
_290_, 50.526, 27.2, 0.000178812
_356_, 50.526, 27.2, 0.000178812
