Instance name, X location, Y location, Voltage
_202_, 21.84, 35.36, 1.79989
_203_, 21.84, 35.36, 1.79989
_205_, 21.84, 35.36, 1.79989
output28, 21.84, 35.36, 1.79989
fanout104, 21.84, 35.36, 1.79989
FILLER_0_9_44, 21.84, 35.36, 1.79989
_200_, 21.84, 29.92, 1.7999
_274_, 21.84, 29.92, 1.7999
_277_, 21.84, 29.92, 1.7999
_285_, 21.84, 29.92, 1.7999
_301_, 21.84, 29.92, 1.7999
_302_, 21.84, 29.92, 1.7999
_414_, 21.84, 29.92, 1.7999
_445_, 21.84, 29.92, 1.7999
_245_, 21.84, 24.48, 1.7999
_246_, 21.84, 24.48, 1.7999
_249_, 21.84, 24.48, 1.7999
_269_, 21.84, 24.48, 1.7999
_278_, 21.84, 24.48, 1.7999
_286_, 21.84, 24.48, 1.7999
_287_, 21.84, 24.48, 1.7999
_443_, 21.84, 24.48, 1.7999
FILLER_0_5_30, 21.84, 24.48, 1.7999
FILLER_0_5_45, 21.84, 24.48, 1.7999
_218_, 21.84, 19.04, 1.79988
_250_, 21.84, 19.04, 1.79988
_258_, 21.84, 19.04, 1.79988
_259_, 21.84, 19.04, 1.79988
_265_, 21.84, 19.04, 1.79988
_288_, 21.84, 19.04, 1.79988
FILLER_0_2_33, 21.84, 19.04, 1.79988
FILLER_0_3_35, 21.84, 19.04, 1.79988
_251_, 21.84, 13.6, 1.79979
_252_, 21.84, 13.6, 1.79979
_253_, 21.84, 13.6, 1.79979
_254_, 21.84, 13.6, 1.79979
_290_, 21.84, 13.6, 1.79979
_307_, 21.84, 13.6, 1.79979
_393_, 21.84, 13.6, 1.79979
_439_, 21.84, 13.6, 1.79979
input13, 21.84, 13.6, 1.79979
output40, 21.84, 13.6, 1.79979
FILLER_0_1_42, 21.84, 13.6, 1.79979
PHY_EDGE_ROW_8_Left_18, 5.52, 35.36, 1.79989
PHY_EDGE_ROW_9_Left_19, 5.52, 35.36, 1.79989
output26, 5.52, 35.36, 1.79989
PHY_EDGE_ROW_8_Right_8, 139.38, 35.36, 1.79928
PHY_EDGE_ROW_9_Right_9, 139.38, 35.36, 1.79928
input24, 139.38, 35.36, 1.79928
output52, 139.38, 35.36, 1.79928
output59, 139.38, 35.36, 1.79928
output60, 139.38, 35.36, 1.79928
_201_, 13.68, 35.36, 1.79989
_300_, 13.68, 35.36, 1.79989
input25, 13.68, 35.36, 1.79989
output27, 13.68, 35.36, 1.79989
output63, 13.68, 35.36, 1.79989
output70, 13.68, 35.36, 1.79989
_204_, 34.9, 35.36, 1.79977
_206_, 34.9, 35.36, 1.79977
output29, 34.9, 35.36, 1.79977
output30, 34.9, 35.36, 1.79977
_214_, 47.96, 35.36, 1.79966
_304_, 47.96, 35.36, 1.79966
