net,length_um
CLK_COUNTER_Z,207.245µm
ALLOW_VREF_SW\[10\],153.4µm
CONVERT,151.605µm
ALLOW_VREF_SW\[6\],144.49µm
ALLOW_VREF_SW\[0\],140.17µm
ALLOW_VREF_SW\[1\],138.05µm
COMP_P,137.085µm
ALLOW_VREF_SW\[9\],137.06µm
SAMPLE_D,132.455µm
ALLOW_VREF_SW\[8\],127.5µm
ALLOW_VREF_SW\[2\],127.06µm
RESULT_Z\[1\],126.89µm
ALLOW_VREF_SW\[3\],124.85µm
ALLOW_VREF_SW\[5\],123.36µm
ALLOW_VREF_SW\[7\],120.86µm
RESULT_Z\[2\],119.67µm
COUNTER\[5\],117.585µm
DAC_SETTLE,113.6µm
ALLOW_VREF_SW\[4\],106.26µm
RST_RES_REG_Z,105.9µm
net11,101.5µm
VIN_P_SW_ON,101.41µm
EN_COMP,100.12µm
DAC_SETTLE_D,93.115µm
RESULT_Z\[4\],92.74µm
HI,91.505µm
RESULT_Z\[3\],90.88µm
RESULT_Z\[7\],90.15µm
net26,87.66µm
COUNTER\[0\],86.915µm
RESULT_Z\[9\],83.475µm
RESULT_Z\[11\],82.01µm
COMP_N,80.06µm
RESULTi\[10\],79.655µm
RESULT_Z\[6\],78.87µm
RESULTi\[11\],76.295µm
RESULT_Z\[8\],74.38µm
COUNTER\[4\],74µm
RESULT_Z\[10\],73.21µm
RESULTi\[9\],69.065µm
RESULTi\[5\],67.705µm
RESULTi\[8\],58.695µm
DEBUG_MUX[1],58.38µm
COUNTER\[11\],58.37µm
RESULTi\[6\],55.915µm
RESULT_Z\[5\],55.82µm
DEBUG_MUX[0],54.83µm
EN_VCM_SW_O,52.52µm
COUNTER\[10\],52.2µm
DONE,50.71µm
DEBUG_MUX[3],49.54µm
EN_OFFSET_CAL,46.94µm
RESULTi\[7\],46.855µm
VIN_N_SW_ON,45.75µm
COUNTER\[1\],45.74µm
RESULTi\[2\],41.095µm
DEBUG_OUT,40.42µm
COUNTER\[9\],39.46µm
net39\[0\],38.16µm
DEBUG_MUX[2],35.93µm
RESULTi\[1\],35.88µm
RESULTi\[4\],34.86µm
CLK_PULSE,34.65µm
COUNTER\[2\],33.12µm
VREF_Z_P_O[8],31.99µm
COUNTER\[3\],31.92µm
net38,31.88µm
EN_OFFSET_CAL_O,31.26µm
VREF_Z_N_O[5],30.73µm
VREF_Z_N_O[4],30.67µm
net12,30.37µm
COUNTER\[7\],30.12µm
VSS_N_O[4],29.31µm
LO,29.16µm
COUNTER\[6\],26.9µm
VCM_O[10],26.545µm
VSS_P_O[2],26.43µm
VREF_Z_P_O[4],25.77µm
VCM_O[0],25.145µm
net39\[1\],25.04µm
VSS_N_O[5],24.97µm
VSS_P_O[4],24.03µm
net37,23.8µm
VREF_Z_N_O[3],23.43µm
VREF_Z_P_O[2],23.35µm
VCM_O[7],23.225µm
VSS_P_O[6],22.99µm
VCM_Z_O\[0\],22.39µm
EN_DAC_OUT\[7\],22.28µm
RESULTi\[3\],22.255µm
COUNTER\[8\],22.22µm
SAMPLE,21.885µm
OFFSET_CAL_CYCLE,21.76µm
net8,21.54µm
net16,21.38µm
net34\[8\],21.375µm
VCM_O[9],20.935µm
net20,20.84µm
VSS_P_O[8],20.81µm
VSS_N_O[3],20.49µm
net6,20.34µm
RST_Zi,20.2µm
VCM_O[1],20.135µm
VSS_N_O[6],19.85µm
ALLOW_VCM_SW,19.66µm
RSTi,19.66µm
net9,19.64µm
net39\[2\],19.42µm
VREF_Z_N_O[7],19.31µm
VREF_Z_P_O[6],19.05µm
net27\[8\],18.78µm
VREF_Z_N_O[0],18.71µm
VSS_N_O[2],18.63µm
VREF_Z_N_O[2],18.29µm
SAMPLE_O,18µm
VSS_N_O[7],17.49µm
DATA[3],17.24µm
CLK_DATA,17.14µm
IDLE,17.1µm
net7,16µm
VSS_N_O[1],15.85µm
EN_DAC_OUT\[8\],15.84µm
VREF_Z_N_O[1],15.63µm
VREF_Z_N_O[9],15.59µm
VREF_Z_N_O[6],15.53µm
VREF_Z_P_O[7],15.51µm
VCM_O[6],15.485µm
net45,15.24µm
VREF_Z_P_O[5],15.17µm
VSS_P_O[5],15.07µm
COMP_DECIDED,14.44µm
VCM_O[4],14.155µm
VCM_O[5],14.155µm
VCM_O[8],14.02µm
VSS_N_O[0],13.91µm
VCM_O[3],13.695µm
VCM_O[2],13.645µm
net24\[2\],13.38µm
net23,13.31µm
DATA[0],13.28µm
RST_Z,13.04µm
net24\[1\],12.92µm
VSS_P_O[7],12.89µm
DATA[4],12.82µm
VREF_Z_P_O[0],12.35µm
net27\[0\],12.16µm
VSS_N_O[8],11.91µm
START,11.63µm
RESULTi\[0\],11.595µm
VREF_Z_P_O[9],11.45µm
DATA[1],11.44µm
DATA[2],11.44µm
DATA[5],11.44µm
EN_DAC_OUT\[6\],11.34µm
VSS_N_O[9],11.27µm
S_CONVERT_Z,11.24µm
net27\[2\],11.22µm
net24\[0\],11.12µm
VREF_Z_N_O[8],11.01µm
net19,10.68µm
net27\[1\],10.54µm
VCM_DUMMY_O,10.42µm
VREF_Z_P_O[3],10.35µm
VSS_P_O[10],10.11µm
VREF_Z_P_O[1],9.65µm
VSS_N_O[10],9.65µm
net39\[3\],9.44µm
VSS_P_O[1],9.41µm
VSS_P_O[3],9.21µm
VCM_Z_O\[7\],9.17µm
net34\[2\],9.075µm
R_CLK_PULSE_Z,8.95µm
VSS_P_O[0],8.85µm
net34\[4\],8.765µm
FINISH,8.74µm
EN_DAC_OUT\[11\],8.7µm
net24\[6\],8.66µm
VREF_Z_P_O[10],8.63µm
net31\[2\],8.56µm
net29\[3\],8.4µm
VCM_Z_O\[3\],8.33µm
VCM_Z_O\[6\],8.33µm
EN_DAC_OUT\[9\],8.28µm
net27\[7\],7.94µm
net28\[10\],7.88µm
net18,7.72µm
VREF_Z_N_O[10],7.71µm
net28\[5\],7.6µm
VSS_P_O[9],7.59µm
net43\[3\],7.56µm
net31\[3\],7.48µm
net31\[8\],7.48µm
net24\[8\],7.34µm
net3,7.2µm
net1,6.76µm
net24\[7\],6.72µm
EN_DAC_OUT\[4\],6.6µm
net27\[3\],6.4µm
EN_DAC_OUT\[2\],6.18µm
EN_DAC_OUT\[1\],5.86µm
LOAD_D,5.84µm
net36,5.56µm
net28\[4\],5.44µm
net29\[2\],5.34µm
net29\[1\],5.26µm
net28\[3\],5.22µm
net28\[7\],5.22µm
net31\[7\],5.1µm
net31\[9\],5.1µm
net10\[11\],5.085µm
net34\[5\],5.085µm
net21,5µm
net27\[6\],4.88µm
net39\[5\],4.88µm
EN_DAC_OUT\[5\],4.8µm
net30\[0\],4.76µm
VCM_Z_O\[4\],4.71µm
net34\[1\],4.575µm
net29\[0\],4.56µm
net28\[6\],4.46µm
net34\[10\],4.445µm
net29\[9\],4.42µm
net31\[10\],4.42µm
net42\[2\],4.42µm
net34\[7\],4.415µm
net13,4.36µm
R_SAMPLE_Z,4.34µm
net25,4.34µm
net44\[0\],4.34µm
net34\[6\],4.055µm
EN_DAC_OUT\[10\],4.02µm
net30\[2\],4.02µm
net30\[6\],3.98µm
VCM_Z_O\[9\],3.77µm
net30\[4\],3.74µm
net34\[9\],3.595µm
net27\[9\],3.56µm
net42\[4\],3.54µm
net30\[7\],3.52µm
net30\[8\],3.52µm
net24\[9\],3.42µm
net31\[4\],3.42µm
net31\[5\],3.42µm
net43\[4\],3.42µm
net28\[9\],3.4µm
EN_DAC_OUT\[0\],3.22µm
net10\[7\],3.2µm
net33,3.1µm
net10\[0\],3.08µm
net2,3.08µm
net40,3.08µm
net30\[10\],3.06µm
net30\[9\],3.06µm
net29\[7\],2.96µm
R_CONVERT_Z,2.87µm
net10\[8\],2.74µm
VCM_Z_O\[2\],2.73µm
net22,2.64µm
net24\[3\],2.64µm
net24\[4\],2.64µm
LOAD,2.62µm
net10\[5\],2.62µm
net27\[4\],2.5µm
net27\[5\],2.5µm
net29\[10\],2.5µm
net44\[1\],2.5µm
net17,2.4µm
net42\[3\],2.3µm
net27\[10\],2.18µm
RESULT_Z\[0\],2.17µm
CLK_CMP,2.16µm
net10\[1\],2.16µm
net28\[1\],2.16µm
net30\[1\],2.16µm
net41,2.16µm
net43\[1\],2.16µm
net29\[6\],2.06µm
net42\[0\],2.06µm
net14,2.04µm
net24\[10\],2.04µm
net31\[1\],2.04µm
net31\[6\],2.04µm
net39\[4\],2.04µm
