Instance name, X location, Y location, Voltage
x14_1, 21.84, 35.36, 1.79998
x6_0, 21.84, 35.36, 1.79998
FILLER_0_9_29, 21.84, 35.36, 1.79998
FILLER_0_9_37, 21.84, 35.36, 1.79998
x19, 21.84, 29.92, 1.79999
x35, 21.84, 29.92, 1.79999
x60_0, 21.84, 29.92, 1.79999
x61_0, 21.84, 29.92, 1.79999
x66, 21.84, 29.92, 1.79999
x6_1, 21.84, 29.92, 1.79999
x8_8, 21.84, 29.92, 1.79999
FILLER_0_6_29, 21.84, 29.92, 1.79999
FILLER_0_8_38, 21.84, 29.92, 1.79999
x2_2, 21.84, 24.48, 1.79999
x2_6, 21.84, 24.48, 1.79999
x2_8, 21.84, 24.48, 1.79999
x7_8, 21.84, 24.48, 1.79999
x8_2, 21.84, 24.48, 1.79999
x8_4, 21.84, 24.48, 1.79999
FILLER_0_4_29, 21.84, 24.48, 1.79999
x2_4, 21.84, 19.04, 1.8
x42_2, 21.84, 19.04, 1.8
x42_5, 21.84, 19.04, 1.8
x42_6, 21.84, 19.04, 1.8
x42_8, 21.84, 19.04, 1.8
x7_6, 21.84, 19.04, 1.8
FILLER_0_2_34, 21.84, 19.04, 1.8
FILLER_0_3_41, 21.84, 19.04, 1.8
FILLER_0_3_49, 21.84, 19.04, 1.8
FILLER_0_4_49, 21.84, 19.04, 1.8
x42_4, 21.84, 13.6, 1.8
x45_1, 21.84, 13.6, 1.8
x7_2, 21.84, 13.6, 1.8
x7_4, 21.84, 13.6, 1.8
FILLER_0_1_31, 21.84, 13.6, 1.8
FILLER_0_2_49, 21.84, 13.6, 1.8
x8_10, 5.52, 35.36, 1.79998
PHY_EDGE_ROW_8_Left_18, 5.52, 35.36, 1.79998
PHY_EDGE_ROW_9_Left_19, 5.52, 35.36, 1.79998
FILLER_0_9_3, 5.52, 35.36, 1.79998
x3_10, 139.38, 35.36, 1.79983
x43_10, 139.38, 35.36, 1.79983
PHY_EDGE_ROW_8_Right_8, 139.38, 35.36, 1.79983
PHY_EDGE_ROW_9_Right_9, 139.38, 35.36, 1.79983
FILLER_0_8_277, 139.38, 35.36, 1.79983
FILLER_0_9_277, 139.38, 35.36, 1.79983
x14_0, 13.68, 35.36, 1.79998
x14_2, 34.9, 35.36, 1.79995
FILLER_0_8_55, 34.9, 35.36, 1.79995
FILLER_0_8_63, 34.9, 35.36, 1.79995
FILLER_0_9_75, 34.9, 35.36, 1.79995
x14_3, 47.96, 35.36, 1.79993
x14_4, 47.96, 35.36, 1.79993
x6_3, 47.96, 35.36, 1.79993
FILLER_0_8_80, 47.96, 35.36, 1.79993
x14_5, 61.02, 35.36, 1.7999
x45_0, 61.02, 35.36, 1.7999
x61_3, 61.02, 35.36, 1.7999
x6_4, 61.02, 35.36, 1.7999
FILLER_0_8_108, 61.02, 35.36, 1.7999
