Instance name, X location, Y location, Voltage
x14_1, 25.14, 38.08, 1.35895e-05
FILLER_0_9_37, 25.14, 38.08, 1.35895e-05
x19, 25.14, 32.64, 1.2179e-05
x60_0, 25.14, 32.64, 1.2179e-05
x66, 25.14, 32.64, 1.2179e-05
x6_1, 25.14, 32.64, 1.2179e-05
FILLER_0_8_38, 25.14, 32.64, 1.2179e-05
FILLER_0_8_55, 25.14, 32.64, 1.2179e-05
x2_8, 25.14, 27.2, 2.84467e-06
x35, 25.14, 27.2, 2.84467e-06
x47, 25.14, 27.2, 2.84467e-06
x5_4, 25.14, 27.2, 2.84467e-06
x60_1, 25.14, 27.2, 2.84467e-06
x8_2, 25.14, 27.2, 2.84467e-06
x8_4, 25.14, 27.2, 2.84467e-06
x8_8, 25.14, 27.2, 2.84467e-06
x2_2, 25.14, 21.76, 7.55417e-06
x2_4, 25.14, 21.76, 7.55417e-06
x42_8, 25.14, 21.76, 7.55417e-06
x5_3, 25.14, 21.76, 7.55417e-06
x7_6, 25.14, 21.76, 7.55417e-06
x7_8, 25.14, 21.76, 7.55417e-06
FILLER_0_3_41, 25.14, 21.76, 7.55417e-06
FILLER_0_4_49, 25.14, 21.76, 7.55417e-06
FILLER_0_5_51, 25.14, 21.76, 7.55417e-06
x42_2, 25.14, 16.32, 2.67471e-06
x42_4, 25.14, 16.32, 2.67471e-06
x5_2, 25.14, 16.32, 2.67471e-06
x7_2, 25.14, 16.32, 2.67471e-06
x7_4, 25.14, 16.32, 2.67471e-06
FILLER_0_2_34, 25.14, 16.32, 2.67471e-06
FILLER_0_2_49, 25.14, 16.32, 2.67471e-06
FILLER_0_3_49, 25.14, 16.32, 2.67471e-06
x10_0, 25.14, 10.88, 6.62558e-07
x41_1, 25.14, 10.88, 6.62558e-07
x45_1, 25.14, 10.88, 6.62558e-07
PHY_EDGE_ROW_9_Left_19, 5.52, 38.08, 1.35896e-05
x43_10, 139.38, 38.08, 9.96206e-05
PHY_EDGE_ROW_9_Right_9, 139.38, 38.08, 9.96206e-05
x14_0, 15.33, 38.08, 1.35896e-05
x14_2, 37.833, 38.08, 2.81993e-05
x14_4, 50.526, 38.08, 4.2809e-05
x6_3, 50.526, 38.08, 4.2809e-05
x14_5, 63.22, 38.08, 5.74198e-05
x6_4, 63.22, 38.08, 5.74198e-05
x6_5, 75.913, 38.08, 7.20295e-05
x16, 88.606, 38.08, 8.6639e-05
x5, 88.606, 38.08, 8.6639e-05
x9, 88.606, 38.08, 8.6639e-05
x21, 101.3, 38.08, 9.96206e-05
x64, 101.3, 38.08, 9.96206e-05
ANTENNA_1, 101.3, 38.08, 9.96206e-05
FILLER_0_9_197, 101.3, 38.08, 9.96206e-05
x65, 5.52, 32.64, 1.21791e-05
x8_10, 5.52, 32.64, 1.21791e-05
PHY_EDGE_ROW_7_Left_17, 5.52, 32.64, 1.21791e-05
PHY_EDGE_ROW_8_Left_18, 5.52, 32.64, 1.21791e-05
FILLER_0_9_3, 5.52, 32.64, 1.21791e-05
x3_10, 139.38, 32.64, 9.45163e-05
x43_8, 139.38, 32.64, 9.45163e-05
PHY_EDGE_ROW_7_Right_7, 139.38, 32.64, 9.45163e-05
PHY_EDGE_ROW_8_Right_8, 139.38, 32.64, 9.45163e-05
x2_10, 15.33, 32.64, 1.21791e-05
x6_0, 15.33, 32.64, 1.21791e-05
x8_7, 15.33, 32.64, 1.21791e-05
FILLER_0_7_14, 15.33, 32.64, 1.21791e-05
FILLER_0_9_29, 15.33, 32.64, 1.21791e-05
x41_4, 37.833, 32.64, 2.5895e-05
x60_2, 37.833, 32.64, 2.5895e-05
x61_1, 37.833, 32.64, 2.5895e-05
x6_2, 37.833, 32.64, 2.5895e-05
FILLER_0_7_68, 37.833, 32.64, 2.5895e-05
FILLER_0_8_63, 37.833, 32.64, 2.5895e-05
FILLER_0_8_80, 37.833, 32.64, 2.5895e-05
FILLER_0_9_75, 37.833, 32.64, 2.5895e-05
x14_3, 50.526, 32.64, 3.96108e-05
x5_0, 50.526, 32.64, 3.96108e-05
x60_3, 50.526, 32.64, 3.96108e-05
x61_3, 50.526, 32.64, 3.96108e-05
FILLER_0_8_108, 50.526, 32.64, 3.96108e-05
x13_0, 63.22, 32.64, 5.33419e-05
x45_0, 63.22, 32.64, 5.33419e-05
x60_4, 63.22, 32.64, 5.33419e-05
FILLER_0_7_122, 63.22, 32.64, 5.33419e-05
FILLER_0_8_117, 63.22, 32.64, 5.33419e-05
FILLER_0_8_129, 63.22, 32.64, 5.33419e-05
FILLER_0_8_137, 63.22, 32.64, 5.33419e-05
x46_11, 75.913, 32.64, 6.70718e-05
x5_11, 75.913, 32.64, 6.70718e-05
x60_5, 75.913, 32.64, 6.70718e-05
x61_5, 75.913, 32.64, 6.70718e-05
FILLER_0_8_158, 75.913, 32.64, 6.70718e-05
FILLER_0_9_162, 75.913, 32.64, 6.70718e-05
x1, 88.606, 32.64, 8.08044e-05
x10, 88.606, 32.64, 8.08044e-05
x11, 88.606, 32.64, 8.08044e-05
x12, 88.606, 32.64, 8.08044e-05
x13, 88.606, 32.64, 8.08044e-05
x17, 88.606, 32.64, 8.08044e-05
x2, 88.606, 32.64, 8.08044e-05
x3, 88.606, 32.64, 8.08044e-05
x4, 88.606, 32.64, 8.08044e-05
x41_11, 88.606, 32.64, 8.08044e-05
x61, 88.606, 32.64, 8.08044e-05
x62, 88.606, 32.64, 8.08044e-05
x7, 88.606, 32.64, 8.08044e-05
x8, 88.606, 32.64, 8.08044e-05
FILLER_0_9_191, 88.606, 32.64, 8.08044e-05
x15, 101.3, 32.64, 9.00348e-05
x42, 101.3, 32.64, 9.00348e-05
FILLER_0_7_208, 101.3, 32.64, 9.00348e-05
FILLER_0_8_200, 101.3, 32.64, 9.00348e-05
x44, 113.993, 32.64, 9.45162e-05
x63, 113.993, 32.64, 9.45162e-05
FILLER_0_7_225, 113.993, 32.64, 9.45162e-05
FILLER_0_8_246, 113.993, 32.64, 9.45162e-05
FILLER_0_9_249, 113.993, 32.64, 9.45162e-05
x43_7, 126.686, 32.64, 9.45163e-05
FILLER_0_7_250, 126.686, 32.64, 9.45163e-05
FILLER_0_8_277, 126.686, 32.64, 9.45163e-05
FILLER_0_9_277, 126.686, 32.64, 9.45163e-05
x2_9, 5.52, 27.2, 2.8448e-06
x8_3, 5.52, 27.2, 2.8448e-06
x8_9, 5.52, 27.2, 2.8448e-06
PHY_EDGE_ROW_5_Left_15, 5.52, 27.2, 2.8448e-06
PHY_EDGE_ROW_6_Left_16, 5.52, 27.2, 2.8448e-06
x3_8, 139.38, 27.2, 2.23641e-05
x4_10, 139.38, 27.2, 2.23641e-05
PHY_EDGE_ROW_5_Right_5, 139.38, 27.2, 2.23641e-05
PHY_EDGE_ROW_6_Right_6, 139.38, 27.2, 2.23641e-05
x2_3, 15.33, 27.2, 2.84477e-06
x42_10, 15.33, 27.2, 2.84477e-06
x61_0, 15.33, 27.2, 2.84477e-06
x8_5, 15.33, 27.2, 2.84477e-06
x8_6, 15.33, 27.2, 2.84477e-06
FILLER_0_5_20, 15.33, 27.2, 2.84477e-06
FILLER_0_6_29, 15.33, 27.2, 2.84477e-06
FILLER_0_7_24, 15.33, 27.2, 2.84477e-06
x1_4, 37.833, 27.2, 6.46826e-06
x46_4, 37.833, 27.2, 6.46826e-06
x61_2, 37.833, 27.2, 6.46826e-06
FILLER_0_5_57, 37.833, 27.2, 6.46826e-06
FILLER_0_5_69, 37.833, 27.2, 6.46826e-06
FILLER_0_6_81, 37.833, 27.2, 6.46826e-06
x13_1, 50.526, 27.2, 1.00802e-05
x38_1, 50.526, 27.2, 1.00802e-05
x41_0, 50.526, 27.2, 1.00802e-05
x46_0, 50.526, 27.2, 1.00802e-05
FILLER_0_6_85, 50.526, 27.2, 1.00802e-05
FILLER_0_6_106, 50.526, 27.2, 1.00802e-05
x13_2, 63.22, 27.2, 1.3681e-05
x13_3, 63.22, 27.2, 1.3681e-05
x13_4, 63.22, 27.2, 1.3681e-05
x59, 63.22, 27.2, 1.3681e-05
x61_4, 63.22, 27.2, 1.3681e-05
FILLER_0_5_113, 63.22, 27.2, 1.3681e-05
FILLER_0_7_134, 63.22, 27.2, 1.3681e-05
x13_5, 75.913, 27.2, 1.72814e-05
x45_10, 75.913, 27.2, 1.72814e-05
x45_11, 75.913, 27.2, 1.72814e-05
x5_10, 75.913, 27.2, 1.72814e-05
FILLER_0_7_164, 75.913, 27.2, 1.72814e-05
x14, 88.606, 27.2, 2.08959e-05
x18, 88.606, 27.2, 2.08959e-05
x33, 88.606, 27.2, 2.08959e-05
x40, 88.606, 27.2, 2.08959e-05
x41_10, 88.606, 27.2, 2.08959e-05
x45, 88.606, 27.2, 2.08959e-05
x49, 88.606, 27.2, 2.08959e-05
x6, 88.606, 27.2, 2.08959e-05
FILLER_0_6_191, 88.606, 27.2, 2.08959e-05
x31, 101.3, 27.2, 2.21819e-05
x48, 101.3, 27.2, 2.21819e-05
x55, 101.3, 27.2, 2.21819e-05
x60, 101.3, 27.2, 2.21819e-05
FILLER_0_6_218, 101.3, 27.2, 2.21819e-05
x12_10, 113.993, 27.2, 2.2364e-05
x32, 113.993, 27.2, 2.2364e-05
x51, 113.993, 27.2, 2.2364e-05
FILLER_0_5_233, 113.993, 27.2, 2.2364e-05
FILLER_0_6_241, 113.993, 27.2, 2.2364e-05
FILLER_0_6_249, 113.993, 27.2, 2.2364e-05
x3_3, 126.686, 27.2, 2.23641e-05
x3_6, 126.686, 27.2, 2.23641e-05
x3_7, 126.686, 27.2, 2.23641e-05
x3_9, 126.686, 27.2, 2.23641e-05
x43_2, 126.686, 27.2, 2.23641e-05
x43_3, 126.686, 27.2, 2.23641e-05
x43_6, 126.686, 27.2, 2.23641e-05
x43_9, 126.686, 27.2, 2.23641e-05
FILLER_0_7_270, 126.686, 27.2, 2.23641e-05
x42_9, 5.52, 21.76, 7.55434e-06
x7_10, 5.52, 21.76, 7.55434e-06
x8_1, 5.52, 21.76, 7.55434e-06
PHY_EDGE_ROW_3_Left_13, 5.52, 21.76, 7.55434e-06
PHY_EDGE_ROW_4_Left_14, 5.52, 21.76, 7.55434e-06
FILLER_0_4_3, 5.52, 21.76, 7.55434e-06
x44_10, 139.38, 21.76, 6.95013e-05
x4_8, 139.38, 21.76, 6.95013e-05
PHY_EDGE_ROW_3_Right_3, 139.38, 21.76, 6.95013e-05
PHY_EDGE_ROW_4_Right_4, 139.38, 21.76, 6.95013e-05
FILLER_0_4_285, 139.38, 21.76, 6.95013e-05
x2_6, 15.33, 21.76, 7.55429e-06
x2_7, 15.33, 21.76, 7.55429e-06
x42_3, 15.33, 21.76, 7.55429e-06
x42_7, 15.33, 21.76, 7.55429e-06
x7_7, 15.33, 21.76, 7.55429e-06
FILLER_0_4_11, 15.33, 21.76, 7.55429e-06
FILLER_0_4_20, 15.33, 21.76, 7.55429e-06
FILLER_0_4_29, 15.33, 21.76, 7.55429e-06
x11_0, 37.833, 21.76, 1.64535e-05
x1_0, 37.833, 21.76, 1.64535e-05
x41_3, 37.833, 21.76, 1.64535e-05
x45_3, 37.833, 21.76, 1.64535e-05
x45_4, 37.833, 21.76, 1.64535e-05
x46_3, 37.833, 21.76, 1.64535e-05
x12_0, 50.526, 21.76, 2.53413e-05
x12_2, 50.526, 21.76, 2.53413e-05
x38_0, 50.526, 21.76, 2.53413e-05
x38_2, 50.526, 21.76, 2.53413e-05
x5_7, 50.526, 21.76, 2.53413e-05
FILLER_0_5_100, 50.526, 21.76, 2.53413e-05
FILLER_0_5_109, 50.526, 21.76, 2.53413e-05
x45_7, 63.22, 21.76, 3.4244e-05
x45_8, 63.22, 21.76, 3.4244e-05
x45_9, 63.22, 21.76, 3.4244e-05
x46_8, 63.22, 21.76, 3.4244e-05
x5_8, 63.22, 21.76, 3.4244e-05
x5_9, 63.22, 21.76, 3.4244e-05
FILLER_0_4_132, 63.22, 21.76, 3.4244e-05
x1_7, 75.913, 21.76, 4.31628e-05
x41_8, 75.913, 21.76, 4.31628e-05
x41_9, 75.913, 21.76, 4.31628e-05
x45_5, 75.913, 21.76, 4.31628e-05
x46_10, 75.913, 21.76, 4.31628e-05
x46_9, 75.913, 21.76, 4.31628e-05
FILLER_0_5_156, 75.913, 21.76, 4.31628e-05
x11_7, 88.606, 21.76, 5.20585e-05
x12_6, 88.606, 21.76, 5.20585e-05
x24, 88.606, 21.76, 5.20585e-05
x27, 88.606, 21.76, 5.20585e-05
x30, 88.606, 21.76, 5.20585e-05
x34, 88.606, 21.76, 5.20585e-05
x43, 88.606, 21.76, 5.20585e-05
x46, 88.606, 21.76, 5.20585e-05
x9_7, 88.606, 21.76, 5.20585e-05
